#node1	node2	combined_score
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	RAC-alpha serine/threonine-protein kinase	0.93
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	0.906
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	Tyrosine-protein kinase BTK	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	Tyrosine-protein kinase JAK1	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	RAC-gamma serine/threonine-protein kinase	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Receptor-type tyrosine-protein kinase FLT3	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Platelet-derived growth factor receptor alpha	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Platelet-derived growth factor receptor beta	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Vascular endothelial growth factor receptor 2	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase TXK	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Thyroid hormone receptor	0.9
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase ZAP-70	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Receptor tyrosine-protein kinase erbB-3	0.9
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Receptor tyrosine-protein kinase erbB-2	0.9
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Protein kinase C iota type	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Progesterone receptor	0.9
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Protein kinase C delta type	0.9
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Receptor tyrosine-protein kinase erbB-4	0.9
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Protein kinase C	0.903
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase Fyn	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	0.906
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Serine/threonine-protein kinase mTOR	0.913
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Proto-oncogene tyrosine-protein kinase Src	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Toll-like receptor 4	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase SYK	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Thyroid hormone receptor beta	0.9
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	0.906
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase JAK3	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase JAK2	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase JAK1	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase ITK/TSK	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	RAC-gamma serine/threonine-protein kinase	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase Lyn	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	RAC-alpha serine/threonine-protein kinase	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	Tyrosine-protein kinase BTK	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	0.926
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Protein kinase C	0.903
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	0.906
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Proto-oncogene tyrosine-protein kinase Src	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Tyrosine-protein kinase Fgr	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Tyrosine-protein kinase HCK	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Tyrosine-protein kinase ITK/TSK	0.902
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	0.906
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	RAC-gamma serine/threonine-protein kinase	0.905
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	Tyrosine-protein kinase Lyn	0.95
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	RAC-alpha serine/threonine-protein kinase	0.905
Phosphatidylinositol 4-kinase beta	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	0.9
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Rho-associated protein kinase 2	0.902
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	0.946
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Rho-associated protein kinase 1	0.902
Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	Rho-associated protein kinase 2	0.902
Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	Rho-associated protein kinase 1	0.902
Phospholipid-transporting ATPase ABCA1	Retinoic acid receptor RXR-alpha	0.801
Plasminogen	Tissue-type plasminogen activator	0.9
Plasminogen	Serine protease 1	0.8
Platelet-derived growth factor D	Platelet-derived growth factor receptor alpha	0.9
Platelet-derived growth factor D	Platelet-derived growth factor receptor beta	0.9
Platelet-derived growth factor D	Pro-epidermal growth factor	0.9
Platelet-derived growth factor receptor alpha	Vascular endothelial growth factor B	0.7
Platelet-derived growth factor receptor alpha	Tyrosine-protein kinase JAK1	0.903
Platelet-derived growth factor receptor alpha	Tyrosine-protein kinase JAK2	0.903
Platelet-derived growth factor receptor alpha	Proto-oncogene tyrosine-protein kinase Src	0.905
Platelet-derived growth factor receptor alpha	Signal transducer and activator of transcription 3	0.878
Platelet-derived growth factor receptor alpha	Pro-epidermal growth factor	0.9
Platelet-derived growth factor receptor alpha	Platelet-derived growth factor receptor beta	0.972
Platelet-derived growth factor receptor beta	Receptor tyrosine-protein kinase erbB-2	0.708
Platelet-derived growth factor receptor beta	Tyrosine-protein kinase Fyn	0.748
Platelet-derived growth factor receptor beta	Vascular endothelial growth factor B	0.7
Platelet-derived growth factor receptor beta	Tyrosine-protein kinase JAK1	0.903
Platelet-derived growth factor receptor beta	Tyrosine-protein kinase JAK2	0.903
Platelet-derived growth factor receptor beta	Pro-epidermal growth factor	0.9
Platelet-derived growth factor receptor beta	Proto-oncogene tyrosine-protein kinase Src	0.978
Poly [ADP-ribose] polymerase 1	Poly [ADP-ribose] polymerase 2	0.919
Poly [ADP-ribose] polymerase 1	Proliferating cell nuclear antigen	0.785
Potassium channel subfamily K member 2	cAMP-dependent protein kinase catalytic subunit beta	0.9
Potassium voltage-gated channel subfamily KQT member 1	Potassium voltage-gated channel subfamily KQT member 3	0.9
Potassium voltage-gated channel subfamily KQT member 1	Potassium voltage-gated channel subfamily KQT member 4	0.9
Potassium voltage-gated channel subfamily KQT member 1	Solute carrier family 12 member 2	0.9
Potassium voltage-gated channel subfamily KQT member 1	cAMP-dependent protein kinase catalytic subunit beta	0.9
Potassium voltage-gated channel subfamily KQT member 1	Potassium voltage-gated channel subfamily KQT member 2	0.926
Potassium voltage-gated channel subfamily KQT member 1	Potassium voltage-gated channel subfamily KQT member 5	0.9
Potassium voltage-gated channel subfamily KQT member 2	Potassium voltage-gated channel subfamily KQT member 4	0.9
Potassium voltage-gated channel subfamily KQT member 2	Potassium voltage-gated channel subfamily KQT member 5	0.9
Potassium voltage-gated channel subfamily KQT member 2	Potassium voltage-gated channel subfamily KQT member 3	0.926
Potassium voltage-gated channel subfamily KQT member 3	Potassium voltage-gated channel subfamily KQT member 4	0.906
Potassium voltage-gated channel subfamily KQT member 3	Potassium voltage-gated channel subfamily KQT member 5	0.926
Potassium voltage-gated channel subfamily KQT member 4	Potassium voltage-gated channel subfamily KQT member 5	0.9
Potassium-transporting ATPase alpha chain 1	Potassium-transporting ATPase subunit beta	0.993
Presenilin-1	cAMP-dependent protein kinase catalytic subunit beta	0.9
Presenilin-1	Presenilin-2	0.999
Pro-epidermal growth factor	Receptor tyrosine-protein kinase erbB-2	0.928
Pro-epidermal growth factor	Receptor tyrosine-protein kinase erbB-3	0.928
Pro-opiomelanocortin	Prostaglandin E2 receptor EP2 subtype	0.905
Progesterone receptor	Prostaglandin E synthase 3	0.804
Progesterone receptor	Receptor tyrosine-protein kinase erbB-4	0.763
Progesterone receptor	cAMP-dependent protein kinase catalytic subunit beta	0.9
Programmed cell death 1 ligand 1	Signal transducer and activator of transcription 3	0.75
Prostaglandin E synthase 3	Telomerase reverse transcriptase	0.972
Prostaglandin E synthase 3	Prostaglandin G/H synthase 1	0.9
Prostaglandin E synthase 3	Prostaglandin G/H synthase 2	0.9
Prostaglandin E2 receptor EP2 subtype	Prostaglandin E2 receptor EP4 subtype	0.9
Prostaglandin E2 receptor EP4 subtype	Proto-oncogene tyrosine-protein kinase Src	0.744
Prostaglandin G/H synthase 1	Prostaglandin G/H synthase 2	0.926
Prostaglandin G/H synthase 2	Signal transducer and activator of transcription 3	0.75
Proteasome subunit beta type-1	Proteasome subunit beta type-9	0.998
Proteasome subunit beta type-1	Proteasome subunit beta type-8	0.999
Proteasome subunit beta type-1	Proteasome subunit beta type-2	0.999
Proteasome subunit beta type-1	Proteasome subunit beta type-10	0.996
Proteasome subunit beta type-1	Proteasome subunit beta type-5	0.999
Proteasome subunit beta type-10	Proteasome subunit beta type-5	0.978
Proteasome subunit beta type-10	Proteasome subunit beta type-8	0.999
Proteasome subunit beta type-10	Proteasome subunit beta type-9	0.996
Proteasome subunit beta type-10	Proteasome subunit beta type-2	0.99
Proteasome subunit beta type-2	Proteasome subunit beta type-5	0.999
Proteasome subunit beta type-2	Proteasome subunit beta type-8	0.998
Proteasome subunit beta type-2	Proteasome subunit beta type-9	0.998
Proteasome subunit beta type-5	Proteasome subunit beta type-8	0.941
Proteasome subunit beta type-5	Proteasome subunit beta type-9	0.987
Proteasome subunit beta type-8	Proteasome subunit beta type-9	0.999
Protein farnesyltransferase subunit beta	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	0.999
Protein kinase C	Protein kinase C theta type	0.841
Protein kinase C	Serine/threonine-protein kinase N1	0.936
Protein kinase C	Ribosomal protein S6 kinase alpha-3	0.775
Protein kinase C	RAC-gamma serine/threonine-protein kinase	0.924
Protein kinase C	Protein kinase C alpha type	0.9
Protein kinase C	Serine/threonine-protein kinase Sgk3	0.928
Protein kinase C	Serine/threonine-protein kinase N2	0.995
Protein kinase C	RAC-alpha serine/threonine-protein kinase	0.991
Protein kinase C alpha type	Protein kinase C gamma type	0.977
Protein kinase C alpha type	Voltage-dependent L-type calcium channel subunit alpha-1C	0.9
Protein kinase C alpha type	Sodium-dependent dopamine transporter	0.9
Protein kinase C alpha type	Voltage-dependent L-type calcium channel subunit alpha-1D	0.9
Protein kinase C alpha type	Stromelysin-1	0.75
Protein kinase C alpha type	Sphingosine kinase 1	0.9
Protein kinase C alpha type	Protein kinase C delta type	0.942
Protein kinase C alpha type	Serine/threonine-protein kinase mTOR	0.926
Protein kinase C alpha type	Voltage-dependent L-type calcium channel subunit alpha-1S	0.9
Protein kinase C alpha type	Voltage-dependent L-type calcium channel subunit alpha-1F	0.9
Protein kinase C alpha type	Serine/threonine-protein kinase D1	0.9
Protein kinase C alpha type	Transient receptor potential cation channel subfamily V member 4	0.9
Protein kinase C alpha type	Tyrosine-protein kinase Lyn	0.9
Protein kinase C alpha type	Sphingosine kinase 2	0.9
Protein kinase C alpha type	Serine/threonine-protein kinase B-raf	0.926
Protein kinase C alpha type	Protein kinase C beta type	0.96
Protein kinase C beta type	Protein kinase C theta type	0.9
Protein kinase C beta type	Tyrosinase	0.9
Protein kinase C beta type	Protein kinase C gamma type	0.942
Protein kinase C beta type	Voltage-dependent L-type calcium channel subunit alpha-1C	0.9
Protein kinase C beta type	Sodium-dependent dopamine transporter	0.9
Protein kinase C beta type	Voltage-dependent L-type calcium channel subunit alpha-1D	0.9
Protein kinase C beta type	Sphingosine kinase 1	0.9
Protein kinase C beta type	Protein kinase C delta type	0.959
Protein kinase C beta type	Serine/threonine-protein kinase mTOR	0.9
Protein kinase C beta type	Voltage-dependent L-type calcium channel subunit alpha-1S	0.9
Protein kinase C beta type	Voltage-dependent L-type calcium channel subunit alpha-1F	0.9
Protein kinase C beta type	Serine/threonine-protein kinase D1	0.9
Protein kinase C beta type	Transient receptor potential cation channel subfamily V member 4	0.9
Protein kinase C beta type	Serine/threonine-protein kinase B-raf	0.9
Protein kinase C beta type	Tyrosine-protein kinase Lyn	0.929
Protein kinase C beta type	Sphingosine kinase 2	0.9
Protein kinase C delta type	Protein kinase C theta type	0.933
Protein kinase C delta type	Protein kinase C epsilon type	0.9
Protein kinase C delta type	Transient receptor potential cation channel subfamily V member 4	0.9
Protein kinase C delta type	Proto-oncogene tyrosine-protein kinase Src	0.929
Protein kinase C epsilon type	Transient receptor potential cation channel subfamily A member 1	0.902
Protein kinase C epsilon type	Protein kinase C theta type	0.9
Protein kinase C epsilon type	Sphingosine kinase 2	0.9
Protein kinase C epsilon type	Sphingosine kinase 1	0.9
Protein kinase C epsilon type	Serine/threonine-protein kinase B-raf	0.829
Protein kinase C epsilon type	Transient receptor potential cation channel subfamily V member 4	0.9
Protein kinase C epsilon type	Transient receptor potential cation channel subfamily V member 1	0.9
Protein kinase C gamma type	Sphingosine kinase 2	0.9
Protein kinase C gamma type	Sphingosine kinase 1	0.9
Protein kinase C gamma type	Tyrosine-protein kinase Lyn	0.9
Protein kinase C gamma type	Sodium-dependent dopamine transporter	0.9
Protein kinase C gamma type	Serine/threonine-protein kinase D1	0.9
Protein kinase C gamma type	Voltage-dependent L-type calcium channel subunit alpha-1F	0.9
Protein kinase C gamma type	Voltage-dependent L-type calcium channel subunit alpha-1S	0.9
Protein kinase C gamma type	Transient receptor potential cation channel subfamily V member 4	0.9
Protein kinase C gamma type	Voltage-dependent L-type calcium channel subunit alpha-1C	0.9
Protein kinase C gamma type	Serine/threonine-protein kinase mTOR	0.9
Protein kinase C gamma type	Voltage-dependent L-type calcium channel subunit alpha-1D	0.9
Protein kinase C gamma type	Serine/threonine-protein kinase B-raf	0.9
Protein kinase C theta type	cGMP-dependent protein kinase 2	0.7
Protein kinase C theta type	Transient receptor potential cation channel subfamily V member 4	0.9
Protein kinase C theta type	Transcription factor p65	0.905
Protein phosphatase 3 catalytic subunit alpha	Voltage-dependent L-type calcium channel subunit alpha-1C	0.905
Protein phosphatase 3 catalytic subunit alpha	Superoxide dismutase [Cu-Zn]	0.906
Protein phosphatase 3 catalytic subunit alpha	Voltage-dependent L-type calcium channel subunit alpha-1D	0.903
Protein-tyrosine kinase 2-beta	Tyrosine-protein kinase Fyn	0.795
Protein-tyrosine kinase 2-beta	Proto-oncogene tyrosine-protein kinase Src	0.979
Protein-tyrosine kinase 2-beta	Tyrosine-protein kinase Fgr	0.907
Protein-tyrosine kinase 2-beta	Tyrosine-protein kinase HCK	0.908
Protein-tyrosine kinase 2-beta	Tyrosine-protein kinase JAK3	0.93
Protein-tyrosine kinase 2-beta	Tyrosine-protein kinase Lyn	0.932
Protein-tyrosine kinase 6	Tyrosine-protein kinase Srms	0.75
Protein-tyrosine kinase 6	Receptor tyrosine-protein kinase erbB-3	0.795
Protein-tyrosine kinase 6	Receptor tyrosine-protein kinase erbB-2	0.803
Protein-tyrosine kinase 6	RAC-alpha serine/threonine-protein kinase	0.9
Prothrombin	Type-1 angiotensin II receptor	0.901
Proto-oncogene c-Rel	Transcription factor RelB	0.926
Proto-oncogene c-Rel	Serine/threonine-protein kinase TBK1	0.93
Proto-oncogene c-Rel	Transcription factor p65	0.956
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase CSK	0.976
Proto-oncogene tyrosine-protein kinase Src	Vascular endothelial growth factor receptor 2	0.978
Proto-oncogene tyrosine-protein kinase Src	Signal transducer and activator of transcription 3	0.983
Proto-oncogene tyrosine-protein kinase Src	Receptor tyrosine-protein kinase erbB-3	0.936
Proto-oncogene tyrosine-protein kinase Src	Receptor tyrosine-protein kinase erbB-2	0.984
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase receptor UFO	0.946
Proto-oncogene tyrosine-protein kinase Src	Transcription factor Sp1	0.912
Proto-oncogene tyrosine-protein kinase Src	Receptor tyrosine-protein kinase erbB-4	0.839
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase Fyn	0.994
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase HCK	0.798
Proto-oncogene tyrosine-protein kinase Src	Transient receptor potential cation channel subfamily V member 1	0.9
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase ITK/TSK	0.926
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase Yes	0.972
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase Lyn	0.969
Proto-oncogene tyrosine-protein kinase Src	RAC-alpha serine/threonine-protein kinase	0.792
Proto-oncogene tyrosine-protein kinase Src	Tyrosine-protein kinase SYK	0.963
Purine nucleoside phosphorylase	Thymidine kinase	0.9
Purine nucleoside phosphorylase	Xanthine dehydrogenase/oxidase	0.956
Pyruvate kinase PKLR	Ribonucleoside-diphosphate reductase subunit M2 B	0.9
Pyruvate kinase PKLR	Retinal guanylyl cyclase 1	0.9
Pyruvate kinase PKLR	Ribonucleoside-diphosphate reductase large subunit	0.9
RAC-alpha serine/threonine-protein kinase	Target of rapamycin complex 2 subunit MAPKAP1	0.868
RAC-alpha serine/threonine-protein kinase	Serine/threonine-protein kinase PAK 1	0.715
RAC-alpha serine/threonine-protein kinase	Serine/threonine-protein kinase mTOR	0.992
RAC-alpha serine/threonine-protein kinase	RAC-gamma serine/threonine-protein kinase	0.957
RAC-gamma serine/threonine-protein kinase	Serine/threonine-protein kinase mTOR	0.903
Ras-related C3 botulinum toxin substrate 1	Serine/threonine-protein kinase PAK 1	0.998
Ras-related C3 botulinum toxin substrate 1	Serine/threonine-protein kinase PAK 2	0.95
Ras-related C3 botulinum toxin substrate 1	Serine/threonine-protein kinase PAK 5	0.731
Ras-related C3 botulinum toxin substrate 1	Serine/threonine-protein kinase PAK 4	0.746
Ras-related C3 botulinum toxin substrate 1	Serine/threonine-protein kinase PAK 3	0.915
Ras-related C3 botulinum toxin substrate 1	Serine/threonine-protein kinase PAK 6	0.872
Receptor tyrosine-protein kinase erbB-2	Signal transducer and activator of transcription 3	0.717
Receptor tyrosine-protein kinase erbB-2	Receptor tyrosine-protein kinase erbB-3	0.999
Receptor tyrosine-protein kinase erbB-2	Tyrosine-protein kinase JAK3	0.905
Receptor tyrosine-protein kinase erbB-2	Tyrosine-protein kinase JAK1	0.922
Receptor tyrosine-protein kinase erbB-2	Tyrosine-protein kinase JAK2	0.93
Receptor tyrosine-protein kinase erbB-2	Receptor tyrosine-protein kinase erbB-4	0.984
Receptor tyrosine-protein kinase erbB-3	Tyrosine-protein kinase JAK1	0.905
Receptor tyrosine-protein kinase erbB-3	Tyrosine-protein kinase JAK2	0.922
Receptor tyrosine-protein kinase erbB-3	Receptor tyrosine-protein kinase erbB-4	0.96
Receptor tyrosine-protein kinase erbB-4	Signal transducer and activator of transcription 5B	0.961
Receptor-type tyrosine-protein kinase FLT3	Vascular endothelial growth factor B	0.7
Receptor-type tyrosine-protein kinase FLT3	Tyrosine-protein kinase SYK	0.709
Receptor-type tyrosine-protein kinase FLT3	Signal transducer and activator of transcription 5B	0.903
Receptor-type tyrosine-protein kinase FLT3	Signal transducer and activator of transcription 3	0.903
Retinal guanylyl cyclase 1	"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"	0.711
Retinal guanylyl cyclase 1	"cGMP-specific 3',5'-cyclic phosphodiesterase"	0.718
"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"	"cGMP-specific 3',5'-cyclic phosphodiesterase"	0.913
Retinoic acid receptor RXR-alpha	Retinoic acid receptor alpha	0.999
Retinoic acid receptor RXR-alpha	Thyroid hormone receptor	0.758
Retinoic acid receptor RXR-alpha	Retinoic acid receptor beta	0.994
Retinoic acid receptor RXR-alpha	Retinoic acid receptor RXR-gamma	0.94
Retinoic acid receptor RXR-alpha	Retinoic acid receptor RXR-beta	0.9
Retinoic acid receptor RXR-alpha	Thyroid hormone receptor beta	0.988
Retinoic acid receptor RXR-alpha	Retinoic acid receptor gamma	0.752
Retinoic acid receptor RXR-beta	Retinoic acid receptor alpha	0.971
Retinoic acid receptor RXR-beta	Retinoic acid receptor beta	0.97
Retinoic acid receptor RXR-beta	Retinoic acid receptor RXR-gamma	0.9
Retinoic acid receptor RXR-beta	Retinoic acid receptor gamma	0.888
Retinoic acid receptor RXR-gamma	Retinoic acid receptor alpha	0.968
Retinoic acid receptor RXR-gamma	Retinoic acid receptor beta	0.925
Retinoic acid receptor RXR-gamma	Retinoic acid receptor gamma	0.931
Retinoic acid receptor alpha	Retinoic acid receptor gamma	0.885
Retinoic acid receptor alpha	Retinoic acid receptor beta	0.958
Rho-associated protein kinase 1	Rho-associated protein kinase 2	0.977
Rho-associated protein kinase 1	Transcription factor p65	0.906
Rho-associated protein kinase 2	Transcription factor p65	0.906
Ribonucleoside-diphosphate reductase large subunit	Ribonucleoside-diphosphate reductase subunit M2 B	0.989
Ribonucleoside-diphosphate reductase large subunit	Thioredoxin	0.75
Ribonucleoside-diphosphate reductase subunit M2 B	Thioredoxin	0.75
Ribosomal protein S6 kinase alpha-1	Ribosomal protein S6 kinase alpha-3	0.914
Ryanodine receptor 1	Voltage-dependent calcium channel gamma-1 subunit	0.72
Ryanodine receptor 1	Voltage-dependent L-type calcium channel subunit alpha-1C	0.734
Ryanodine receptor 1	Voltage-dependent L-type calcium channel subunit alpha-1D	0.734
Ryanodine receptor 1	Voltage-dependent L-type calcium channel subunit beta-3	0.72
Ryanodine receptor 1	Voltage-dependent L-type calcium channel subunit beta-2	0.72
Ryanodine receptor 1	Voltage-dependent T-type calcium channel subunit alpha-1H	0.72
Ryanodine receptor 1	Voltage-dependent L-type calcium channel subunit beta-4	0.72
Ryanodine receptor 1	Voltage-dependent L-type calcium channel subunit alpha-1F	0.732
Ryanodine receptor 1	Ryanodine receptor 2	0.967
Ryanodine receptor 1	Voltage-dependent L-type calcium channel subunit alpha-1S	0.735
Ryanodine receptor 2	cAMP-dependent protein kinase catalytic subunit beta	0.955
STE20-like serine/threonine-protein kinase	Serine/threonine-protein kinase PLK1	0.9
Serine-protein kinase ATM	Tyrosine-protein kinase ABL1	0.953
Serine-protein kinase ATM	Serine/threonine-protein kinase Chk1	0.942
Serine-protein kinase ATM	Serine/threonine-protein kinase Chk2	0.914
Serine-protein kinase ATM	Serine/threonine-protein kinase ATR	0.997
Serine/threonine-protein kinase 24	Serine/threonine-protein kinase 26	0.994
Serine/threonine-protein kinase 3	Serine/threonine-protein kinase LATS1	0.989
Serine/threonine-protein kinase 38	Serine/threonine-protein kinase 38-like	0.767
Serine/threonine-protein kinase ATR	Serine/threonine-protein kinase Chk2	0.97
Serine/threonine-protein kinase ATR	Serine/threonine-protein kinase Chk1	0.997
Serine/threonine-protein kinase B-raf	cAMP-dependent protein kinase catalytic subunit beta	0.904
Serine/threonine-protein kinase Chk1	Serine/threonine-protein kinase Chk2	0.922
Serine/threonine-protein kinase Chk1	Wee1-like protein kinase	0.927
Serine/threonine-protein kinase Chk2	Serine/threonine-protein kinase PLK1	0.726
Serine/threonine-protein kinase Chk2	Serine/threonine-protein kinase PLK3	0.726
Serine/threonine-protein kinase Chk2	Wee1-like protein kinase	0.767
Serine/threonine-protein kinase MARK2	Utrophin	0.72
Serine/threonine-protein kinase N1	Serine/threonine-protein kinase N2	0.919
Serine/threonine-protein kinase Nek2	Serine/threonine-protein kinase PLK1	0.8
Serine/threonine-protein kinase Nek9	Serine/threonine-protein kinase PLK1	0.817
Serine/threonine-protein kinase PAK 1	Serine/threonine-protein kinase PAK 2	0.95
Serine/threonine-protein kinase PAK 1	Serine/threonine-protein kinase PAK 3	0.957
Serine/threonine-protein kinase PAK 2	Serine/threonine-protein kinase PAK 3	0.9
Serine/threonine-protein kinase PAK 4	Serine/threonine-protein kinase PAK 5	0.818
Serine/threonine-protein kinase PAK 4	Serine/threonine-protein kinase PAK 6	0.887
Serine/threonine-protein kinase PLK1	Tubulin alpha-4A chain	0.814
Serine/threonine-protein kinase PLK1	Serine/threonine-protein kinase TAO1	0.8
Serine/threonine-protein kinase PLK1	Tubulin beta-4A chain	0.805
Serine/threonine-protein kinase PLK1	Serine/threonine-protein kinase PLK4	0.831
Serine/threonine-protein kinase PLK1	Tubulin beta-4B chain	0.805
Serine/threonine-protein kinase PLK1	Tubulin beta chain	0.805
Serine/threonine-protein kinase PLK1	Tubulin alpha-1A chain	0.862
Serine/threonine-protein kinase RIO1	Serine/threonine-protein kinase RIO2	0.9
Serine/threonine-protein kinase RIO1	Serine/threonine-protein kinase RIO3	0.9
Serine/threonine-protein kinase RIO2	Serine/threonine-protein kinase RIO3	0.9
Serine/threonine-protein kinase SIK2	cAMP-dependent protein kinase catalytic subunit beta	0.9
Serine/threonine-protein kinase TAO1	Serine/threonine-protein kinase TAO2	0.94
Serine/threonine-protein kinase TAO1	Serine/threonine-protein kinase TAO3	0.942
Serine/threonine-protein kinase TAO2	Serine/threonine-protein kinase TAO3	0.942
Serine/threonine-protein kinase TBK1	Transcription factor p65	0.963
Serine/threonine-protein kinase TBK1	Tumor necrosis factor	0.996
Serine/threonine-protein kinase ULK1	cAMP-dependent protein kinase catalytic subunit beta	0.903
Serine/threonine-protein kinase ULK1	Serine/threonine-protein kinase ULK2	0.919
Serine/threonine-protein kinase ULK1	Serine/threonine-protein kinase mTOR	0.987
Serine/threonine-protein kinase ULK2	Serine/threonine-protein kinase mTOR	0.953
Serine/threonine-protein kinase ULK2	cAMP-dependent protein kinase catalytic subunit beta	0.903
Serine/threonine-protein kinase mTOR	Tubulin beta-4A chain	0.994
Serine/threonine-protein kinase mTOR	Signal transducer and activator of transcription 3	0.735
