Drug1,Drug2,Cell_line,classification
Letrozole,Decitabine,KM12_LARGE_INTESTINE,synergy
Letrozole,Decitabine,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Everolimus,786O_KIDNEY,synergy
Letrozole,Everolimus,HCT15_LARGE_INTESTINE,synergy
Letrozole,Everolimus,HS578T_BREAST,synergy
Letrozole,Everolimus,IGROV1_OVARY,synergy
Letrozole,Everolimus,OVCAR8_OVARY,synergy
Letrozole,Everolimus,SKMEL28_SKIN,synergy
Letrozole,Fulvestrant,ACHN_KIDNEY,synergy
Letrozole,Fulvestrant,NCIH23_LUNG,synergy
Letrozole,Fulvestrant,T47D_BREAST,synergy
Letrozole,Hydroxyurea,ACHN_KIDNEY,synergy
Letrozole,Hydroxyurea,HOP92_LUNG,synergy
Letrozole,Hydroxyurea,LOXIMVI_SKIN,synergy
Letrozole,Hydroxyurea,SKOV3_OVARY,synergy
Letrozole,Ifosfamide,DU145_PROSTATE,synergy
Letrozole,Ifosfamide,HCT116_LARGE_INTESTINE,synergy
Letrozole,Ifosfamide,HCT15_LARGE_INTESTINE,synergy
Letrozole,Ifosfamide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Ifosfamide,PC3_PROSTATE,synergy
Letrozole,Ifosfamide,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Imatinib,A549_LUNG,synergy
Letrozole,Imatinib,HOP92_LUNG,synergy
Letrozole,Imatinib,MCF7_BREAST,synergy
Letrozole,Imatinib,MDAMB435S_SKIN,synergy
Letrozole,Imatinib,T47D_BREAST,synergy
Letrozole,Imiquimod,MDAMB435S_SKIN,synergy
Letrozole,Ixabepilone,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Ixabepilone,T47D_BREAST,synergy
Letrozole,Methotrexate,786O_KIDNEY,synergy
Letrozole,Methotrexate,A549_LUNG,synergy
Letrozole,Methotrexate,BT549_BREAST,synergy
Letrozole,Methotrexate,DU145_PROSTATE,synergy
Letrozole,Methotrexate,HCT15_LARGE_INTESTINE,synergy
Letrozole,Methotrexate,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Methotrexate,HOP62_LUNG,synergy
Letrozole,Methotrexate,HOP92_LUNG,synergy
Letrozole,Methotrexate,HT29_LARGE_INTESTINE,synergy
Letrozole,Methotrexate,LOXIMVI_SKIN,synergy
Letrozole,Methotrexate,MCF7_BREAST,synergy
Letrozole,Methotrexate,MDAMB435S_SKIN,synergy
Letrozole,Methotrexate,MDAMB468_BREAST,synergy
Letrozole,Methotrexate,NCIH2122_LUNG,synergy
Letrozole,Methotrexate,NCIH226_LUNG,synergy
Letrozole,Methotrexate,NCIH23_LUNG,synergy
Letrozole,Methotrexate,NCIH460_LUNG,synergy
Letrozole,Methotrexate,NCIH522_LUNG,synergy
Letrozole,Methotrexate,OVCAR4_OVARY,synergy
Letrozole,Methotrexate,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Methotrexate,SKMEL5_SKIN,synergy
Letrozole,Methotrexate,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Methotrexate,SW620_LARGE_INTESTINE,synergy
Letrozole,Methotrexate,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Methotrexate,UACC257_SKIN,synergy
Letrozole,Methotrexate,UACC62_SKIN,synergy
Letrozole,Methoxsalen,HCT15_LARGE_INTESTINE,synergy
Letrozole,Methoxsalen,NCIH460_LUNG,synergy
Letrozole,Methoxsalen,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Methoxsalen,SKMEL28_SKIN,synergy
Letrozole,Methoxsalen,SNB75_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Mitotane,CAKI1_KIDNEY,synergy
Letrozole,Paclitaxel,DU145_PROSTATE,synergy
Letrozole,Paclitaxel,HOP62_LUNG,synergy
Letrozole,Paclitaxel,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Paclitaxel,KM12_LARGE_INTESTINE,synergy
Letrozole,Paclitaxel,NCIH2122_LUNG,synergy
Letrozole,Paclitaxel,NCIH522_LUNG,synergy
Letrozole,Paclitaxel,OVCAR4_OVARY,synergy
Letrozole,Paclitaxel,SKMEL5_SKIN,synergy
Letrozole,Pentostatin,EKVX_LUNG,synergy
Letrozole,Pentostatin,KM12_LARGE_INTESTINE,synergy
Letrozole,Pentostatin,MDAMB435S_SKIN,synergy
Letrozole,Pipobroman,DU145_PROSTATE,synergy
Letrozole,Pipobroman,NCIH460_LUNG,synergy
Letrozole,Pipobroman,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Sorafenib,HCT116_LARGE_INTESTINE,synergy
Letrozole,Sorafenib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Sorafenib,MCF7_BREAST,synergy
Letrozole,Sorafenib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Temozolomide,A549_LUNG,synergy
Letrozole,Temozolomide,HCT116_LARGE_INTESTINE,synergy
Letrozole,Temozolomide,HCT15_LARGE_INTESTINE,synergy
Letrozole,Temozolomide,HT29_LARGE_INTESTINE,synergy
Letrozole,Temozolomide,MALME3M_SKIN,synergy
Letrozole,Temozolomide,MCF7_BREAST,synergy
Letrozole,Temozolomide,MDAMB231_BREAST,synergy
Letrozole,Temozolomide,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Letrozole,Thalidomide,ACHN_KIDNEY,synergy
Letrozole,Thalidomide,DU145_PROSTATE,synergy
Letrozole,Thalidomide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Thalidomide,HOP62_LUNG,synergy
Letrozole,Thalidomide,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,ThioTEPA,ACHN_KIDNEY,synergy
Letrozole,ThioTEPA,HCT116_LARGE_INTESTINE,synergy
Letrozole,ThioTEPA,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,ThioTEPA,HT29_LARGE_INTESTINE,synergy
Letrozole,Tretinoin,DU145_PROSTATE,synergy
Letrozole,Tretinoin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Letrozole,Valrubicin,UO31_KIDNEY,synergy
Levosimendan,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Linagliptin,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Linezolid,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Linifanib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Linsitinib,AVN944,TC71_BONE,synergy
Linsitinib,BKM-120,TC71_BONE,synergy
Linsitinib,Carfilzomib,TC71_BONE,synergy
Linsitinib,Crenolanib,TC71_BONE,synergy
Linsitinib,Danusertib,TC71_BONE,synergy
Linsitinib,Etoposide,TC71_BONE,synergy
Linsitinib,GSK-461364A,TC71_BONE,synergy
Linsitinib,KX-01,TC71_BONE,synergy
Linsitinib,Lestaurtinib,TC71_BONE,synergy
Linsitinib,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,5-Azacitidine,HCT15_LARGE_INTESTINE,synergy
Lomustine,5-Azacitidine,LOXIMVI_SKIN,synergy
Lomustine,Allopurinol,HCT15_LARGE_INTESTINE,synergy
Lomustine,Allopurinol,NCIH2122_LUNG,synergy
Lomustine,Allopurinol,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Altretamine,ACHN_KIDNEY,synergy
Lomustine,Altretamine,HS578T_BREAST,synergy
Lomustine,Altretamine,HT29_LARGE_INTESTINE,synergy
Lomustine,Altretamine,NCIH2122_LUNG,synergy
Lomustine,Altretamine,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Bortezomib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Bortezomib,SF295_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,Bortezomib,U251MG_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,Busulfan,HCT15_LARGE_INTESTINE,synergy
Lomustine,Busulfan,IGROV1_OVARY,synergy
Lomustine,Busulfan,MDAMB435S_SKIN,synergy
Lomustine,Busulfan,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,Carmustine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Carmustine,OVCAR4_OVARY,synergy
Lomustine,Carmustine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Carmustine,UACC257_SKIN,synergy
Lomustine,Chlorambucil,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Chlorambucil,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Crizotinib,LOXIMVI_SKIN,synergy
Lomustine,Crizotinib,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Crizotinib,SF295_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,Dacarbazine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Dasatinib,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Dasatinib,MDAMB435S_SKIN,synergy
Lomustine,Decitabine,786O_KIDNEY,synergy
Lomustine,Decitabine,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Everolimus,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Everolimus,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Fluorouracil,CAKI1_KIDNEY,synergy
Lomustine,Fluorouracil,HS578T_BREAST,synergy
Lomustine,Fluorouracil,HT29_LARGE_INTESTINE,synergy
Lomustine,Fluorouracil,NCIH2122_LUNG,synergy
Lomustine,Fluorouracil,OVCAR4_OVARY,synergy
Lomustine,Fluorouracil,SKMEL28_SKIN,synergy
Lomustine,Fluorouracil,SKOV3_OVARY,synergy
Lomustine,Fluorouracil,UACC257_SKIN,synergy
Lomustine,Fulvestrant,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Hydroxyurea,HCT15_LARGE_INTESTINE,synergy
Lomustine,Ifosfamide,KM12_LARGE_INTESTINE,synergy
Lomustine,Imatinib,HCT116_LARGE_INTESTINE,synergy
Lomustine,Imatinib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Imatinib,LOXIMVI_SKIN,synergy
Lomustine,Imatinib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Imatinib,SW620_LARGE_INTESTINE,synergy
Lomustine,Imiquimod,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Imiquimod,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Ixabepilone,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Ixabepilone,NCIH226_LUNG,synergy
Lomustine,Ixabepilone,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Letrozole,HS578T_BREAST,synergy
Lomustine,Methoxsalen,KM12_LARGE_INTESTINE,synergy
Lomustine,Methoxsalen,SF539_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,Mitotane,HT29_LARGE_INTESTINE,synergy
Lomustine,Mitotane,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Pentostatin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Pipobroman,BT549_BREAST,synergy
Lomustine,Pipobroman,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Pipobroman,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Sorafenib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Sorafenib,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Temozolomide,HCT116_LARGE_INTESTINE,synergy
Lomustine,Temozolomide,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Temozolomide,OVCAR8_OVARY,synergy
Lomustine,Temozolomide,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Temozolomide,UACC257_SKIN,synergy
Lomustine,Thalidomide,CAKI1_KIDNEY,synergy
Lomustine,Thalidomide,EKVX_LUNG,synergy
Lomustine,Thalidomide,HCT116_LARGE_INTESTINE,synergy
Lomustine,Thalidomide,KM12_LARGE_INTESTINE,synergy
Lomustine,Thalidomide,NCIH226_LUNG,synergy
Lomustine,Thalidomide,SF295_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,Thalidomide,UACC62_SKIN,synergy
Lomustine,Tretinoin,SKMEL28_SKIN,synergy
Lomustine,Tretinoin,SKOV3_OVARY,synergy
Lomustine,Valrubicin,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Vemurafenib,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,synergy
Lomustine,Vemurafenib,HOP62_LUNG,synergy
Lomustine,Vemurafenib,OVCAR8_OVARY,synergy
Lomustine,Vemurafenib,SF295_CENTRAL_NERVOUS_SYSTEM,synergy
Lomustine,Vemurafenib,SW620_LARGE_INTESTINE,synergy
Loratadine,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Lornoxicam,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Lovastatin,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
Lumacaftor,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
MESALAZINE,Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,AEE-788,TC71_BONE,synergy
MK-1775,AT-7519,TC71_BONE,synergy
MK-1775,AVN944,TC71_BONE,synergy
MK-1775,AZD-8055,TC71_BONE,synergy
MK-1775,BEZ-235,A2058_SKIN,synergy
MK-1775,BEZ-235,A2780_OVARY,synergy
MK-1775,BEZ-235,A375_SKIN,synergy
MK-1775,BEZ-235,A427_LUNG,synergy
MK-1775,BEZ-235,COLO320_LARGE_INTESTINE,synergy
MK-1775,BEZ-235,EFM192A_BREAST,synergy
MK-1775,BEZ-235,ES2_OVARY,synergy
MK-1775,BEZ-235,HCT116_LARGE_INTESTINE,synergy
MK-1775,BEZ-235,HT144_SKIN,synergy
MK-1775,BEZ-235,HT29_LARGE_INTESTINE,synergy
MK-1775,BEZ-235,KPL1_BREAST,synergy
MK-1775,BEZ-235,LNCAPCLONEFGC_PROSTATE,synergy
MK-1775,BEZ-235,MDAMB436_BREAST,synergy
MK-1775,BEZ-235,NCIH1650_LUNG,synergy
MK-1775,BEZ-235,NCIH23_LUNG,synergy
MK-1775,BEZ-235,NCIH460_LUNG,synergy
MK-1775,BEZ-235,NCIH520_LUNG,synergy
MK-1775,BEZ-235,OV90_OVARY,synergy
MK-1775,BEZ-235,RKO_LARGE_INTESTINE,synergy
MK-1775,BEZ-235,RPMI7951_SKIN,synergy
MK-1775,BEZ-235,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,BEZ-235,SKMEL30_SKIN,synergy
MK-1775,BEZ-235,SKMES1_LUNG,synergy
MK-1775,BEZ-235,SKOV3_OVARY,synergy
MK-1775,BEZ-235,SW620_LARGE_INTESTINE,synergy
MK-1775,BEZ-235,SW837_LARGE_INTESTINE,synergy
MK-1775,BEZ-235,T47D_BREAST,synergy
MK-1775,BEZ-235,UACC62_SKIN,synergy
MK-1775,BEZ-235,VCAP_PROSTATE,synergy
MK-1775,BKM-120,TC71_BONE,synergy
MK-1775,Bortezomib,A2058_SKIN,synergy
MK-1775,Bortezomib,COLO320_LARGE_INTESTINE,synergy
MK-1775,Bortezomib,ES2_OVARY,synergy
MK-1775,Bortezomib,NCIH460_LUNG,synergy
MK-1775,Bortezomib,NCIH520_LUNG,synergy
MK-1775,Bortezomib,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,Bortezomib,SW837_LARGE_INTESTINE,synergy
MK-1775,Carfilzomib,TC71_BONE,synergy
MK-1775,Crenolanib,TC71_BONE,synergy
MK-1775,Cytarabine,TC71_BONE,synergy
MK-1775,Danusertib,TC71_BONE,synergy
MK-1775,Dasatinib,A2058_SKIN,synergy
MK-1775,Dasatinib,A2780_OVARY,synergy
MK-1775,Dasatinib,A375_SKIN,synergy
MK-1775,Dasatinib,A427_LUNG,synergy
MK-1775,Dasatinib,COLO320_LARGE_INTESTINE,synergy
MK-1775,Dasatinib,EFM192A_BREAST,synergy
MK-1775,Dasatinib,ES2_OVARY,synergy
MK-1775,Dasatinib,HCT116_LARGE_INTESTINE,synergy
MK-1775,Dasatinib,HT144_SKIN,synergy
MK-1775,Dasatinib,HT29_LARGE_INTESTINE,synergy
MK-1775,Dasatinib,KPL1_BREAST,synergy
MK-1775,Dasatinib,LNCAPCLONEFGC_PROSTATE,synergy
MK-1775,Dasatinib,MDAMB436_BREAST,synergy
MK-1775,Dasatinib,NCIH1650_LUNG,synergy
MK-1775,Dasatinib,NCIH23_LUNG,synergy
MK-1775,Dasatinib,NCIH460_LUNG,synergy
MK-1775,Dasatinib,NCIH520_LUNG,synergy
MK-1775,Dasatinib,OV90_OVARY,synergy
MK-1775,Dasatinib,RKO_LARGE_INTESTINE,synergy
MK-1775,Dasatinib,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,Dasatinib,SKMEL30_SKIN,synergy
MK-1775,Dasatinib,SW620_LARGE_INTESTINE,synergy
MK-1775,Dasatinib,SW837_LARGE_INTESTINE,synergy
MK-1775,Dasatinib,UACC62_SKIN,synergy
MK-1775,Dasatinib,VCAP_PROSTATE,synergy
MK-1775,Erlotinib,A2058_SKIN,synergy
MK-1775,Erlotinib,A2780_OVARY,synergy
MK-1775,Erlotinib,A375_SKIN,synergy
MK-1775,Erlotinib,CAOV3_OVARY,synergy
MK-1775,Erlotinib,COLO320_LARGE_INTESTINE,synergy
MK-1775,Erlotinib,EFM192A_BREAST,synergy
MK-1775,Erlotinib,ES2_OVARY,synergy
MK-1775,Erlotinib,HT144_SKIN,synergy
MK-1775,Erlotinib,HT29_LARGE_INTESTINE,synergy
MK-1775,Erlotinib,KPL1_BREAST,synergy
MK-1775,Erlotinib,RPMI7951_SKIN,synergy
MK-1775,Erlotinib,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,Erlotinib,SKMEL30_SKIN,synergy
MK-1775,Erlotinib,SKOV3_OVARY,synergy
MK-1775,Erlotinib,SW620_LARGE_INTESTINE,synergy
MK-1775,Erlotinib,SW837_LARGE_INTESTINE,synergy
MK-1775,Erlotinib,UACC62_SKIN,synergy
MK-1775,Erlotinib,VCAP_PROSTATE,synergy
MK-1775,Etoposide,TC71_BONE,synergy
MK-1775,Everolimus,TC71_BONE,synergy
MK-1775,Fludarabine,EW8_BONE,synergy
MK-1775,Fludarabine,TC71_BONE,synergy
MK-1775,GSK-461364A,TC71_BONE,synergy
MK-1775,KX-01,TC71_BONE,synergy
MK-1775,Lestaurtinib,TC71_BONE,synergy
MK-1775,Linsitinib,TC71_BONE,synergy
MK-1775,MK-2206,A2058_SKIN,synergy
MK-1775,MK-2206,A2780_OVARY,synergy
MK-1775,MK-2206,A375_SKIN,synergy
MK-1775,MK-2206,A427_LUNG,synergy
MK-1775,MK-2206,CAOV3_OVARY,synergy
MK-1775,MK-2206,COLO320_LARGE_INTESTINE,synergy
MK-1775,MK-2206,ES2_OVARY,synergy
MK-1775,MK-2206,HCT116_LARGE_INTESTINE,synergy
MK-1775,MK-2206,HT29_LARGE_INTESTINE,synergy
MK-1775,MK-2206,KPL1_BREAST,synergy
MK-1775,MK-2206,LNCAPCLONEFGC_PROSTATE,synergy
MK-1775,MK-2206,MDAMB436_BREAST,synergy
MK-1775,MK-2206,RKO_LARGE_INTESTINE,synergy
MK-1775,MK-2206,SKMES1_LUNG,synergy
MK-1775,MK-2206,SKOV3_OVARY,synergy
MK-1775,MK-2206,SW837_LARGE_INTESTINE,synergy
MK-1775,MK-2206,T47D_BREAST,synergy
MK-1775,Niraparib,A2058_SKIN,synergy
MK-1775,Niraparib,A2780_OVARY,synergy
MK-1775,Niraparib,A375_SKIN,synergy
MK-1775,Niraparib,A427_LUNG,synergy
MK-1775,Niraparib,COLO320_LARGE_INTESTINE,synergy
MK-1775,Niraparib,ES2_OVARY,synergy
MK-1775,Niraparib,EW8_BONE,synergy
MK-1775,Niraparib,HT29_LARGE_INTESTINE,synergy
MK-1775,Niraparib,LNCAPCLONEFGC_PROSTATE,synergy
MK-1775,Niraparib,LOVO_LARGE_INTESTINE,synergy
MK-1775,Niraparib,MDAMB436_BREAST,synergy
MK-1775,Niraparib,NCIH1650_LUNG,synergy
MK-1775,Niraparib,NCIH23_LUNG,synergy
MK-1775,Niraparib,NCIH460_LUNG,synergy
MK-1775,Niraparib,NCIH520_LUNG,synergy
MK-1775,Niraparib,RKO_LARGE_INTESTINE,synergy
MK-1775,Niraparib,RPMI7951_SKIN,synergy
MK-1775,Niraparib,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,Niraparib,SKMEL30_SKIN,synergy
MK-1775,Niraparib,SKMES1_LUNG,synergy
MK-1775,Niraparib,SW620_LARGE_INTESTINE,synergy
MK-1775,Niraparib,SW837_LARGE_INTESTINE,synergy
MK-1775,Niraparib,UACC62_SKIN,synergy
MK-1775,Niraparib,VCAP_PROSTATE,synergy
MK-1775,Olaparib,EW8_BONE,synergy
MK-1775,PD-0325901,A2058_SKIN,synergy
MK-1775,PD-0325901,A2780_OVARY,synergy
MK-1775,PD-0325901,A427_LUNG,synergy
MK-1775,PD-0325901,CAOV3_OVARY,synergy
MK-1775,PD-0325901,COLO320_LARGE_INTESTINE,synergy
MK-1775,PD-0325901,ES2_OVARY,synergy
MK-1775,PD-0325901,HCT116_LARGE_INTESTINE,synergy
MK-1775,PD-0325901,HT144_SKIN,synergy
MK-1775,PD-0325901,NCIH23_LUNG,synergy
MK-1775,PD-0325901,RKO_LARGE_INTESTINE,synergy
MK-1775,PD-0325901,RPMI7951_SKIN,synergy
MK-1775,PD-0325901,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,PD-0325901,VCAP_PROSTATE,synergy
MK-1775,Pelitinib,TC71_BONE,synergy
MK-1775,Pralatrexate,TC71_BONE,synergy
MK-1775,Ridaforolimus,A2058_SKIN,synergy
MK-1775,Ridaforolimus,A2780_OVARY,synergy
MK-1775,Ridaforolimus,A375_SKIN,synergy
MK-1775,Ridaforolimus,A427_LUNG,synergy
MK-1775,Ridaforolimus,COLO320_LARGE_INTESTINE,synergy
MK-1775,Ridaforolimus,EFM192A_BREAST,synergy
MK-1775,Ridaforolimus,ES2_OVARY,synergy
MK-1775,Ridaforolimus,HT144_SKIN,synergy
MK-1775,Ridaforolimus,HT29_LARGE_INTESTINE,synergy
MK-1775,Ridaforolimus,KPL1_BREAST,synergy
MK-1775,Ridaforolimus,LNCAPCLONEFGC_PROSTATE,synergy
MK-1775,Ridaforolimus,NCIH23_LUNG,synergy
MK-1775,Ridaforolimus,NCIH460_LUNG,synergy
MK-1775,Ridaforolimus,NCIH520_LUNG,synergy
MK-1775,Ridaforolimus,RKO_LARGE_INTESTINE,synergy
MK-1775,Ridaforolimus,RPMI7951_SKIN,synergy
MK-1775,Ridaforolimus,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-1775,Ridaforolimus,SKMEL30_SKIN,synergy
MK-1775,Ridaforolimus,SKMES1_LUNG,synergy
MK-1775,Ridaforolimus,SKOV3_OVARY,synergy
MK-1775,Ridaforolimus,SW620_LARGE_INTESTINE,synergy
MK-1775,Ridaforolimus,SW837_LARGE_INTESTINE,synergy
MK-1775,Ridaforolimus,T47D_BREAST,synergy
MK-1775,Ridaforolimus,UACC62_SKIN,synergy
MK-1775,Ridaforolimus,VCAP_PROSTATE,synergy
MK-1775,Romidepsin,TC71_BONE,synergy
MK-1775,Sorafenib,A2058_SKIN,synergy
MK-1775,Sorafenib,A2780_OVARY,synergy
MK-1775,Sorafenib,A375_SKIN,synergy
MK-1775,Sorafenib,A427_LUNG,synergy
MK-1775,Sorafenib,CAOV3_OVARY,synergy
MK-1775,Sorafenib,ES2_OVARY,synergy
MK-1775,Sorafenib,HCT116_LARGE_INTESTINE,synergy
MK-1775,Sorafenib,HT144_SKIN,synergy
MK-1775,Sorafenib,NCIH1650_LUNG,synergy
MK-1775,Sorafenib,NCIH520_LUNG,synergy
MK-1775,Sorafenib,RKO_LARGE_INTESTINE,synergy
MK-1775,Sorafenib,SKMEL30_SKIN,synergy
MK-1775,Sorafenib,SKMES1_LUNG,synergy
MK-1775,Sorafenib,SKOV3_OVARY,synergy
MK-1775,Sorafenib,SW620_LARGE_INTESTINE,synergy
MK-1775,Sorafenib,T47D_BREAST,synergy
MK-1775,Sorafenib,VCAP_PROSTATE,synergy
MK-1775,Sorafenib,ZR751_BREAST,synergy
MK-1775,Topotecan,A2058_SKIN,synergy
MK-1775,Topotecan,A2780_OVARY,synergy
MK-1775,Topotecan,A375_SKIN,synergy
MK-1775,Topotecan,A427_LUNG,synergy
MK-1775,Topotecan,CAOV3_OVARY,synergy
MK-1775,Topotecan,HCT116_LARGE_INTESTINE,synergy
MK-1775,Topotecan,HT29_LARGE_INTESTINE,synergy
MK-1775,Topotecan,SKMEL30_SKIN,synergy
MK-1775,Topotecan,SW620_LARGE_INTESTINE,synergy
MK-1775,Topotecan,VCAP_PROSTATE,synergy
MK-2206,AT-7519,TC71_BONE,synergy
MK-2206,AVN944,TC71_BONE,synergy
MK-2206,BEZ-235,A2058_SKIN,synergy
MK-2206,BEZ-235,A2780_OVARY,synergy
MK-2206,BEZ-235,A375_SKIN,synergy
MK-2206,BEZ-235,A427_LUNG,synergy
MK-2206,BEZ-235,CAOV3_OVARY,synergy
MK-2206,BEZ-235,COLO320_LARGE_INTESTINE,synergy
MK-2206,BEZ-235,EFM192A_BREAST,synergy
MK-2206,BEZ-235,ES2_OVARY,synergy
MK-2206,BEZ-235,HCT116_LARGE_INTESTINE,synergy
MK-2206,BEZ-235,HT29_LARGE_INTESTINE,synergy
MK-2206,BEZ-235,LNCAPCLONEFGC_PROSTATE,synergy
MK-2206,BEZ-235,MDAMB436_BREAST,synergy
MK-2206,BEZ-235,NCIH23_LUNG,synergy
MK-2206,BEZ-235,OV90_OVARY,synergy
MK-2206,BEZ-235,RPMI7951_SKIN,synergy
MK-2206,BEZ-235,SF268_CENTRAL_NERVOUS_SYSTEM,synergy
MK-2206,BEZ-235,SKMEL30_SKIN,synergy
MK-2206,BEZ-235,SKOV3_OVARY,synergy
MK-2206,BEZ-235,SW620_LARGE_INTESTINE,synergy
MK-2206,BEZ-235,T47D_BREAST,synergy
MK-2206,BEZ-235,VCAP_PROSTATE,synergy
MK-2206,BKM-120,TC71_BONE,synergy
MK-2206,Bortezomib,A2780_OVARY,synergy
MK-2206,Bortezomib,COLO320_LARGE_INTESTINE,synergy
MK-2206,Bortezomib,ES2_OVARY,synergy
